epoch,iteration,accuracy,loss
1,100,None,2.385940909385681
1,200,None,2.2511776447296143
1,300,None,2.0080377876758577
1,400,None,1.7136238706111908
1,470,27.08942819148936,1.544513101237161
2,100,None,1.477471832036972
2,200,None,1.3607053351402283
2,300,None,1.2469377607107162
2,400,None,1.1132857793569564
2,470,56.6123670212766,1.057757774421147
3,100,None,0.9695338958501816
3,200,None,0.8546775704622269
3,300,None,0.7796856701374054
3,400,None,0.7158376577496529
3,470,76.18018617021278,0.6835689757551465
4,100,None,0.663179695904255
4,200,None,0.6327927279472351
4,300,None,0.5901284837722778
4,400,None,0.5904542258381844
4,470,83.39594414893618,0.5338607894522803
5,100,None,0.5363170078396797
5,200,None,0.5170625796914101
5,300,None,0.49071660965681074
5,400,None,0.4935413721203804
5,470,86.56083776595744,0.4349035539797374
6,100,None,0.45438723742961884
6,200,None,0.4295046901702881
6,300,None,0.39570882365107535
6,400,None,0.4078376926481724
6,470,88.85139627659574,0.3915795379451343
7,100,None,0.3898014470934868
7,200,None,0.36517812266945837
7,300,None,0.36258194282650946
7,400,None,0.36276377633213996
7,470,90.48703457446808,0.3278787844947406
8,100,None,0.3470925375819206
8,200,None,0.32031595557928083
8,300,None,0.30368561506271363
8,400,None,0.30685976341366766
8,470,91.8184840425532,0.2779128289648465
9,100,None,0.2889213037490845
9,200,None,0.28269198536872864
9,300,None,0.27926034800708294
9,400,None,0.2702158087491989
9,470,92.90558510638299,0.24812222527606145
10,100,None,0.26460638985037804
10,200,None,0.2583617030829191
10,300,None,0.23869495861232282
10,400,None,0.25463681392371657
10,470,93.53889627659574,0.2533333696424961
11,100,None,0.5560488167405129
11,200,None,0.5387568220496177
11,300,None,0.4996261984109879
11,400,None,0.49882455468177794
11,470,85.98570478723404,0.49125328234263826
12,100,None,0.49510587990283966
12,200,None,0.4539985117316246
12,300,None,0.46696691438555715
12,400,None,0.4424650137126446
12,470,87.64128989361703,0.4677472514765603
13,100,None,0.45894081473350523
13,200,None,0.44058749690651894
13,300,None,0.40792605966329576
13,400,None,0.4440228493511677
13,470,88.44248670212767,0.4445142477750778
14,100,None,0.42314420133829117
14,200,None,0.42195457756519317
14,300,None,0.4051557843387127
14,400,None,0.41057087272405624
14,470,89.2752659574468,0.3854371590273721
15,100,None,0.4013713932037353
15,200,None,0.4103826154768467
15,300,None,0.38758851781487463
15,400,None,0.40073920398950574
15,470,89.69581117021276,0.37517240196466445
16,100,None,0.3714365038275719
16,200,None,0.39256213933229445
16,300,None,0.3483591769635677
16,400,None,0.37982635349035265
16,470,90.28756648936171,0.3525520126734461
17,100,None,0.37140536844730376
17,200,None,0.3556950761377811
17,300,None,0.3409666387736797
17,400,None,0.35529611200094224
17,470,90.8095079787234,0.3374328253524644
18,100,None,0.33910697683691976
18,200,None,0.3441241945326328
18,300,None,0.3358644354343414
18,400,None,0.3259328444302082
18,470,91.3497340425532,0.2984941278185163
19,100,None,0.3236334091424942
19,200,None,0.29922995358705523
19,300,None,0.32128906577825544
19,400,None,0.319165120869875
19,470,91.88663563829788,0.3169208688395364
20,100,None,0.3272991779446602
20,200,None,0.3105483745038509
20,300,None,0.2863076887279749
20,400,None,0.29383553929626943
20,470,92.19082446808511,0.2869776446904455
21,100,None,0.2939234398305416
21,200,None,0.2787592765688896
21,300,None,0.29167246162891386
21,400,None,0.2736868372559547
21,470,92.72107712765958,0.27693890407681465
22,100,None,0.2779615756869316
22,200,None,0.26444395013153554
22,300,None,0.2699760939180851
22,400,None,0.2584997597336769
22,470,93.04853723404256,0.2537887076182025
23,100,None,0.2639713854342699
23,200,None,0.2417217219620943
23,300,None,0.24276025108993055
23,400,None,0.2336485094204545
23,470,93.71675531914893,0.23549850583076476
24,100,None,0.23368631079792976
24,200,None,0.22193190425634385
24,300,None,0.23696028299629687
24,400,None,0.21346013009548187
24,470,94.21376329787235,0.22872580587863922
25,100,None,0.22093829952180385
25,200,None,0.2138926237821579
25,300,None,0.21428052358329297
25,400,None,0.2047995664179325
25,470,94.70744680851064,0.19454160811645643
26,100,None,0.19977850042283535
26,200,None,0.190782705321908
26,300,None,0.18524570010602473
26,400,None,0.1879332222789526
26,470,95.22772606382979,0.17413848462913717
27,100,None,0.18844921335577966
27,200,None,0.1745525236800313
27,300,None,0.17501061249524355
27,400,None,0.18048645865172147
27,470,95.59175531914894,0.16781280040740967
28,100,None,0.16466314677149058
28,200,None,0.16666558906435966
28,300,None,0.1666647730395198
28,400,None,0.16187727555632592
28,470,96.00398936170212,0.1615089458546468
29,100,None,0.16552258107811213
29,200,None,0.15920426234602927
29,300,None,0.15346179332584142
29,400,None,0.16444879796355963
29,470,96.04554521276596,0.14153519012033938
30,100,None,0.15503085009753703
30,200,None,0.1649621868506074
30,300,None,0.1588949665799737
30,400,None,0.15168446782976389
30,470,96.08543882978722,0.15543453762573856
31,100,None,0.47595217227935793
31,200,None,0.46735854938626287
31,300,None,0.41686693876981734
31,400,None,0.41866413548588755
31,470,88.27626329787233,0.40557200078453337
32,100,None,0.40767454519867896
32,200,None,0.39634327456355095
32,300,None,0.3917760522663593
32,400,None,0.37604178488254547
32,470,89.78224734042554,0.38892866926533837
33,100,None,0.3934659606218338
33,200,None,0.3807988345623016
33,300,None,0.3439588838815689
33,400,None,0.37970604047179224
33,470,90.21609042553192,0.3706203613962446
34,100,None,0.393395998030901
34,200,None,0.36314852461218833
34,300,None,0.37240566983819007
34,400,None,0.3646727153658867
34,470,90.3623670212766,0.3641148701310158
35,100,None,0.3396887227892876
35,200,None,0.3670464254915714
35,300,None,0.36005268603563306
35,400,None,0.3501353660225868
35,470,90.8843085106383,0.3392075427940914
36,100,None,0.3553650239109993
36,200,None,0.3428942848742008
36,300,None,0.3640289007127285
36,400,None,0.354372718334198
36,470,90.79288563829788,0.3512153059244156
37,100,None,0.3489337719976902
37,200,None,0.34746377617120744
37,300,None,0.33063756927847865
37,400,None,0.3290903356671333
37,470,91.20511968085107,0.32870864463703975
38,100,None,0.3528655181825161
38,200,None,0.3531932434439659
38,300,None,0.3448276834189892
38,400,None,0.3328676588833332
38,470,91.1502659574468,0.31377280929258894
39,100,None,0.36662450775504113
39,200,None,0.35196708008646965
39,300,None,0.3168573386967182
39,400,None,0.31409702852368354
39,470,91.37965425531915,0.32634916816438947
40,100,None,0.3363140670955181
40,200,None,0.3335532969236374
40,300,None,0.34029915541410444
40,400,None,0.33097062677145006
40,470,91.41123670212767,0.30996578612497877
41,100,None,0.3365758979320526
41,200,None,0.31009461149573325
41,300,None,0.3319421696662903
41,400,None,0.31100657626986505
41,470,91.61735372340426,0.32862355304615837
42,100,None,0.3296775242686272
42,200,None,0.3151100927591324
42,300,None,0.32050193458795545
42,400,None,0.3172299998998642
42,470,91.83344414893617,0.29271261330161774
43,100,None,0.3182328724861145
43,200,None,0.32242897495627404
43,300,None,0.30980574414134027
43,400,None,0.29828127682209016
43,470,91.7686170212766,0.3139378343309675
44,100,None,0.31325896248221397
44,200,None,0.3099223482608795
44,300,None,0.31209459111094473
44,400,None,0.31715126484632494
44,470,91.875,0.2868860461882183
45,100,None,0.307108623534441
45,200,None,0.30703477546572683
45,300,None,0.3008319480717182
45,400,None,0.29228684812784195
45,470,92.22905585106383,0.28507907443812913
46,100,None,0.29669280603528025
46,200,None,0.29671132296323777
46,300,None,0.32028705105185507
46,400,None,0.31934004589915277
46,470,92.12101063829788,0.2832601726055145
47,100,None,0.29500489979982375
47,200,None,0.29511246278882025
47,300,None,0.2838152575492859
47,400,None,0.273180328682065
47,470,92.6811835106383,0.2586687761758055
48,100,None,0.2962991900742054
48,200,None,0.2780392638593912
48,300,None,0.28696887284517286
48,400,None,0.3074445514380932
48,470,92.50664893617021,0.2673752261059625
49,100,None,0.2666020219027996
49,200,None,0.2592822708189487
49,300,None,0.25971192605793475
49,400,None,0.2802651822566986
49,470,93.13996010638299,0.26227905260665074
50,100,None,0.2749344383180141
50,200,None,0.26863992750644683
50,300,None,0.2713648086041212
50,400,None,0.264786999002099
50,470,93.04853723404256,0.2690513674701963
51,100,None,0.26601864755153654
51,200,None,0.2641070847213268
51,300,None,0.25302234932780265
51,400,None,0.23753234058618544
51,470,93.33942819148936,0.26528698088867325
52,100,None,0.2370680746436119
52,200,None,0.2526177532970905
52,300,None,0.25282780416309836
52,400,None,0.24502624057233333
52,470,93.67353723404256,0.21791508346796035
53,100,None,0.2577582293748856
53,200,None,0.23827624313533305
53,300,None,0.22295377798378468
53,400,None,0.2417935451120138
53,470,93.99434840425532,0.21678668196712222
54,100,None,0.22804710924625396
54,200,None,0.21934665843844414
54,300,None,0.22910702228546143
54,400,None,0.23193056922405958
54,470,94.18716755319149,0.21008172365171568
55,100,None,0.21858059749007225
55,200,None,0.22325756300240754
55,300,None,0.2164941792190075
55,400,None,0.21515493884682654
55,470,94.41655585106383,0.21888793653675487
56,100,None,0.2187119822204113
56,200,None,0.2056393325328827
56,300,None,0.20020342268049718
56,400,None,0.19382885061204433
56,470,94.76063829787233,0.19413193336554935
57,100,None,0.21668238386511804
57,200,None,0.20811600893735885
57,300,None,0.19697653882205488
57,400,None,0.20207390062510966
57,470,94.84208776595744,0.19619645614709172
58,100,None,0.20768580108880996
58,200,None,0.18728799745440483
58,300,None,0.19814804092049598
58,400,None,0.20246113903820515
58,470,94.96176861702128,0.18773349321314267
59,100,None,0.1870585111528635
59,200,None,0.18564622715115547
59,300,None,0.18868547946214675
59,400,None,0.18602856524288655
59,470,95.2875664893617,0.172670746541449
60,100,None,0.17453446019440888
60,200,None,0.1680495151504874
60,300,None,0.17022191241383552
60,400,None,0.1668922996148467
60,470,95.67320478723404,0.18398303730147225
61,100,None,0.16989932000637054
