epoch,iteration,accuracy,loss
1,100,None,2.3479555678367614
1,200,None,2.075265680551529
1,300,None,1.7631100916862488
1,400,None,1.5674662482738495
1,471,33.34826167728237,1.4101569115276067
2,100,None,1.2941929233074188
2,200,None,1.0951455050706864
2,300,None,0.9941702097654342
2,400,None,0.8795277106761933
2,471,67.97372611464968,0.7875636115040577
3,100,None,0.7468138679862022
3,200,None,0.7134597128629685
3,300,None,0.6606688368320465
3,400,None,0.6694698667526245
3,471,80.91328290870489,0.6072032938540821
4,100,None,0.5780715814232826
4,200,None,0.5598304408788681
4,300,None,0.5371129232645034
4,400,None,0.5066104981303216
4,471,85.58419585987261,0.47673311032040017
5,100,None,0.4791287225484848
5,200,None,0.4564777663350105
5,300,None,0.4422053703665733
5,400,None,0.42036947220563886
5,471,88.39404193205945,0.39791728346280647
6,100,None,0.4095605447888374
6,200,None,0.3915442006289959
6,300,None,0.3800069536268711
6,400,None,0.3666566829383373
6,471,90.03615976645435,0.36217335810963536
7,100,None,0.36512535825371745
7,200,None,0.346526041328907
7,300,None,0.30851884722709655
7,400,None,0.29815945610404015
7,471,91.47923301486199,0.3243795992203162
8,100,None,0.3015549219399691
8,200,None,0.28670348703861237
8,300,None,0.29059545263648034
8,400,None,0.28319826707243917
8,471,92.74814225053079,0.2671138248603109
9,100,None,0.2863812271505594
9,200,None,0.26297945380210874
9,300,None,0.25411376878619196
9,400,None,0.2557982011884451
9,471,93.44811571125265,0.22931157335848876
10,100,None,0.24383434101939203
10,200,None,0.243081848397851
10,300,None,0.2380545824766159
10,400,None,0.230075821056962
10,471,94.03363853503186,0.24515764688102293
11,100,None,0.5096143412590027
11,200,None,0.5084709885716439
11,300,None,0.5051500329375267
11,400,None,0.47852237552404403
11,471,86.9808253715499,0.4378556172612687
12,100,None,0.45148434579372404
12,200,None,0.4643975406885147
12,300,None,0.4624942469596863
12,400,None,0.4323588390648365
12,471,88.20992569002122,0.4187649754990994
13,100,None,0.4083625115454197
13,200,None,0.40334663704037665
13,300,None,0.40123569369316103
13,400,None,0.40243118688464163
13,471,89.28642515923568,0.3969718165380854
14,100,None,0.40436099097132683
14,200,None,0.3853371585905552
14,300,None,0.3905097280442715
14,400,None,0.41140154540538787
14,471,89.82218683651804,0.37715614282749066
15,100,None,0.3817081293463707
15,200,None,0.3663250967860222
15,300,None,0.3802263644337654
15,400,None,0.37278703585267065
15,471,90.32809182590233,0.3684917686270996
16,100,None,0.3547252854704857
16,200,None,0.3603905713558197
16,300,None,0.3385622674226761
16,400,None,0.3467423690855503
16,471,90.99489118895966,0.35350636382338024
17,100,None,0.330726553350687
17,200,None,0.35835257202386855
17,300,None,0.3218144471943378
17,400,None,0.3323026961088181
17,471,91.33658439490446,0.3426042152962214
18,100,None,0.3278584004938602
18,200,None,0.31768068596720694
18,300,None,0.31661990374326704
18,400,None,0.319988784044981
18,471,91.85907643312102,0.29633162181142353
19,100,None,0.31469299644231796
19,200,None,0.31663224667310713
19,300,None,0.31553804621100423
19,400,None,0.29182767003774646
19,471,92.21238057324841,0.29407439748166314
